,adjective,type,url
44,toll,attributive,https://www.lovelybooks.de/autor/Jordis-Lank/Federohr-und-Flitzepfote-6-Die-verflixte-Falle-16941566626-w/rezension/18916373223/
45,erster,attributive,https://www.lovelybooks.de/autor/Chantal-Schreiber/Friends-Horses-Pferdemädchen-küssen-besser-1447808014-w/rezension/1491924219/
46,erster,attributive,https://www.lovelybooks.de/autor/Chantal-Schreiber/Friends-Horses-Pferdemädchen-küssen-besser-1447808014-w/rezension/1491924219/
47,zweiter,attributive,https://www.lovelybooks.de/autor/Justine-Pust/With-you-I-dream-3533235099-w/rezension/5219382864/
48,leichtgängig,predicative,https://www.lovelybooks.de/autor/Pete-Johnson/Wie-man-seine-Eltern-erzieht-Eltern-1--1234449216-w/rezension/2931241060/
49,tiefgründig,predicative,https://www.lovelybooks.de/autor/Pete-Johnson/Wie-man-seine-Eltern-erzieht-Eltern-1--1234449216-w/rezension/2931241060/
50,ernst,predicative,https://www.lovelybooks.de/autor/Pete-Johnson/Wie-man-seine-Eltern-erzieht-Eltern-1--1234449216-w/rezension/2931241060/
51,schön,attributive,https://www.lovelybooks.de/autor/Eva-Floris/Vulkanherzsommer-11012537733-w/rezension/13517039700/
52,spannend,attributive,https://www.lovelybooks.de/autor/Gregg-Hurwitz/Projekt-Orphan-1478536085-w/rezension/1486301673/
53,gesamt,attributive,https://www.lovelybooks.de/autor/Carina-Mueller/Hope-Despair-2-Hoffnungsnacht-1245209887-w/rezension/1318365694/
54,toll,attributive,https://www.lovelybooks.de/autor/Camille-Perri/Die-Assistentinnen-1232101818-w/rezension/1363420432/
55,durchdacht,attributive,https://www.lovelybooks.de/autor/Simone-Raihmann/Good-Karma-2325519872-w/rezension/6331614049/
56,aufbereitet,attributive,https://www.lovelybooks.de/autor/Simone-Raihmann/Good-Karma-2325519872-w/rezension/6331614049/
57,neu,attributive,https://www.lovelybooks.de/autor/Nicholas-Sparks/Wo-wir-uns-finden-1551310179-w/rezension/1756078917/
58,vorliegend,attributive,https://www.lovelybooks.de/autor/Nicholas-Sparks/Wo-wir-uns-finden-1551310179-w/rezension/1756078917/
59,spirituell,attributive,https://www.lovelybooks.de/autor/Nina-Leisten/Wie-der-Wind-die-Liebe-fand-1206185732-w/rezension/1350059852/
60,schön,attributive,https://www.lovelybooks.de/autor/Nina-Leisten/Wie-der-Wind-die-Liebe-fand-1206185732-w/rezension/1350059852/
61,gut,predicative,https://www.lovelybooks.de/autor/Kathy-Reichs/Hals-über-Kopf-106882607-w/rezension/969904206/
62,perfekt,predicative,https://www.lovelybooks.de/autor/Niki-Foreman/SUPERLESER-Alarm-im-Dino-Museum-5187989539-w/rezension/5809365245/
63,kindgerecht,predicative,https://www.lovelybooks.de/autor/Margarete-van-Marvik/Luisas-Abenteuer-1629749425-w/rezension/1638546867/
64,faszinierend,attributive,https://www.lovelybooks.de/autor/Michelle-Schrenk/Kein-Horizont-ohne-Licht-1644386335-w/rezension/1651767302/
